Date,Close/Last,Volume,Open,High,Low
01/27/2025,$171.18,15632610,$172.10,$172.20,$167.28
01/24/2025,$172.11,5825772,$175.10,$175.20,$171.9422
01/23/2025,$174.36,7172321,$170.38,$174.38,$169.38
01/22/2025,$170.24,7281689,$168.32,$172.0899,$168.19
01/21/2025,$167.27,7380518,$166.00,$168.68,$165.35
01/17/2025,$164.56,8097475,$165.38,$165.61,$163.10
01/16/2025,$161.43,7188856,$165.35,$165.84,$161.28
01/15/2025,$164.41,9284034,$162.10,$165.45,$162.09
01/14/2025,$159.53,6476497,$160.14,$161.01,$156.559
01/13/2025,$157.13,5714689,$155.22,$157.37,$154.80
01/10/2025,$156.98,6236809,$157.70,$158.28,$155.55
01/08/2025,$159.08,7731918,$160.05,$160.19,$156.94
01/07/2025,$160.52,7666013,$162.00,$163.45,$159.25
01/06/2025,$159.85,9599764,$159.33,$165.67,$159.33
01/03/2025,$157.83,5887151,$155.42,$158.435,$154.49
01/02/2025,$153.64,5009075,$155.01,$157.51,$152.79
12/31/2024,$153.62,4423330,$154.72,$155.84,$153.21
12/30/2024,$154.58,5355964,$155.23,$156.13,$153.80
12/27/2024,$157.24,7232473,$157.19,$157.75,$155.52
12/26/2024,$158.53,3847905,$157.40,$159.5599,$157.35
12/24/2024,$159.36,2839592,$158.64,$159.40,$157.54
12/23/2024,$158.24,8863199,$155.66,$158.69,$154.55
12/20/2024,$152.89,17347070,$149.58,$154.57,$149.43
12/19/2024,$150.40,8414797,$154.03,$155.47,$150.06
12/18/2024,$153.05,10295190,$158.25,$161.16,$152.325
12/17/2024,$157.92,7187382,$156.49,$159.98,$156.49
12/16/2024,$157.89,9951138,$158.16,$158.71,$154.02
12/13/2024,$158.53,8886682,$158.24,$159.6805,$156.62
12/12/2024,$158.24,5796116,$158.67,$159.46,$156.9214
12/11/2024,$159.83,7081804,$157.29,$160.46,$156.97
12/10/2024,$156.46,8683634,$160.77,$161.49,$156.04
12/09/2024,$160.74,9481232,$157.48,$162.93,$157.47
12/06/2024,$159.51,9918412,$160.39,$160.39,$157.24
12/05/2024,$160.39,7279786,$162.59,$164.45,$159.93
12/04/2024,$163.34,6721577,$164.475,$165.00,$162.24
12/03/2024,$162.58,6961372,$161.50,$163.86,$161.32
12/02/2024,$163.03,9812677,$158.38,$163.37,$158.38
11/29/2024,$158.53,6112016,$158.11,$161.52,$157.75
11/27/2024,$156.40,6337854,$156.93,$157.65,$154.46
11/26/2024,$156.93,9489853,$159.75,$161.47,$156.09
11/25/2024,$158.82,9189843,$158.94,$159.65,$157.2189
11/22/2024,$156.79,5709268,$154.79,$156.88,$153.73
11/21/2024,$155.46,10685790,$155.16,$156.94,$153.59
11/20/2024,$154.27,14483040,$164.00,$164.20,$152.9505
11/19/2024,$164.71,6176848,$164.03,$166.23,$162.65
11/18/2024,$164.50,7816812,$162.60,$165.14,$162.00
11/15/2024,$160.50,9737033,$163.00,$164.325,$159.60
11/14/2024,$163.97,7012644,$162.95,$164.91,$161.87
11/13/2024,$160.42,7921747,$162.79,$162.94,$159.75
11/12/2024,$163.41,8483331,$167.05,$167.33,$161.8601
11/11/2024,$168.29,7829485,$170.00,$170.79,$166.09
11/08/2024,$170.91,10736650,$172.09,$173.49,$168.7546
11/07/2024,$172.91,23586320,$180.265,$182.10,$171.63
11/06/2024,$172.99,17661920,$169.25,$178.45,$168.67
11/05/2024,$165.91,5373163,$165.00,$167.59,$164.245
11/04/2024,$165.18,4949802,$165.06,$167.50,$163.635
11/01/2024,$165.27,6498125,$163.08,$166.0847,$162.77
10/31/2024,$162.77,10261240,$167.62,$167.78,$162.08
10/30/2024,$167.62,8819735,$169.92,$171.735,$167.53
10/29/2024,$176.00,6427746,$172.195,$176.57,$171.26
10/28/2024,$172.22,5024581,$169.42,$173.15,$169.37
10/25/2024,$170.27,5496607,$170.275,$173.18,$169.8062
10/24/2024,$168.10,4933426,$166.61,$168.94,$165.53
10/23/2024,$166.60,9788217,$169.34,$172.64,$164.30
